symbol,timestamp,volatility,volume_spike,price_change,range_pct,volume_ratio_prev,rsi,macd_line,macd_signal,macd_hist,macd_cross,sma_20,sma_50,sma_cross_20_50,ema_20_50_cross,adx,adx_plus_di,adx_minus_di,atr_pct,day_of_week,month,ret_1d,ret_5d,ret_20d,prediction_id,price_at_scan,volume_ratio,max_change_5d,gap_pct,short_percent
STAK,2026-07-27T22:45:03.735612-04:00,1.3911150473673686,0.5385224301718131,-0.01793720247125663,0.4292237047720512,0.36574337874538415,46.76556772601959,-0.20047349622083832,-0.2483946799885057,0.04792118376766738,0.0,-0.32506354266648185,-0.3693667553726657,-1.0,0.0,28.83604340774604,44.0067962432417,11.683376985066936,0.8635945692620212,1.0,7.0,-0.13095235166816377,0.5208333126372768,-0.4977064242759103,159,2.52,1.47,267.86,0.0,0.0
RDW,2026-07-27T22:45:03.735612-04:00,0.04936910450464412,0.7225798499409583,-0.12012321394126968,0.07351215673287415,0.9414823534914906,36.23892308960989,-1.2329415325529354,-1.3345408423784377,0.10159930982550236,0.0,-0.12675771875660313,-0.3794981201684072,-1.0,0.0,24.226129206953694,14.77601173001839,29.61860904655162,0.11499230576826087,1.0,7.0,-0.02944509978803156,-0.09023358541246818,-0.2668947816554824,162,8.83,0.63,5.1,0.0,0.0
UWMC,2026-07-27T22:45:03.735612-04:00,0.037674091210866165,0.9230920392974381,-0.07920790501592567,0.05645155863260793,1.259003317967886,35.83574140220216,-0.14135179972155498,-0.146447539255389,0.0050957395338340206,0.0,-0.07347446030777494,-0.1963274384077316,-1.0,0.0,23.68649837856645,15.916909709824404,26.01512510717055,0.06464457528762942,1.0,7.0,0.010869554654186597,-0.02105261176576878,-0.1142856672507544,163,1.84,0.61,7.61,0.0,0.0
KOS,2026-07-27T22:45:03.735612-04:00,0.060908188279144265,0.7394096952268139,-0.06400003433227541,0.07692310827331858,1.236969271838039,47.32850920272618,0.0068751009927119355,-0.032634770417833026,0.03950987141054496,0.0,0.011891854775918587,-0.08970671645133987,-1.0,0.0,15.88209625026462,28.168695932153625,30.245754819689836,0.07747757091290883,1.0,7.0,-0.040983664223788296,-0.03305791719112183,0.125,165,2.44,0.59,12.3,0.0,0.0
PTEN,2026-07-27T22:45:03.735612-04:00,0.039074423526581,1.061313737148298,-0.06997967590354115,0.043620563672476,1.06533805571708,39.53059348825945,-0.12369960029137417,-0.15634071548178097,0.0326411151904068,0.0,-0.04538829520749066,-0.1341564705423387,-1.0,0.0,20.49541151929514,20.154487386279076,32.66663833140646,0.054805691159455557,1.0,7.0,-0.025504758236969294,-0.12915476649243018,-0.039790587104865494,169,9.41,0.95,9.88,0.0,0.0
BLDP,2026-07-27T22:45:03.735612-04:00,0.040894967588091885,1.2055652293640453,-0.09764308385839604,0.07089545301085738,0.9029300334028292,30.946327997375903,-0.3323790925900778,-0.3597900424898334,0.027410949899755566,0.0,-0.13701495379289796,-0.35486975366105933,-1.0,0.0,25.46139792704731,18.212948958056028,30.36653201122588,0.09717214138826144,1.0,7.0,-0.06620203009689929,-0.09459458370988971,-0.2815013262592687,170,2.87,1.02,3.83,0.0,0.0
EXK,2026-07-27T22:45:03.735612-04:00,0.03888542130690356,1.3925496482151598,-0.04084157510173514,0.04129034473050025,0.9701280227596017,44.6291785888997,-0.18711138352725154,-0.22145768344530561,0.034346299918054074,0.0,-0.03118945084206337,-0.089584851956649,-1.0,0.0,10.838946651066015,25.374814553005322,31.728811534224334,0.06390459154062157,1.0,7.0,-0.023929478066902155,-0.05487802679662068,-0.05832315539909472,174,7.94,1.43,0.0,0.0,0.0
REI,2026-07-27T22:45:03.735612-04:00,0.034036337434159236,0.4943299776127142,-0.04237284282951548,0.061946949334047326,0.9696860915001396,42.09533338446096,0.005186787324658049,0.00037708639941950344,0.004809700925238546,0.0,-0.039524009918841196,-0.07513504925579939,-1.0,0.0,22.7627516659438,20.342358303563486,27.30037940111049,0.06080679416792042,1.0,7.0,-0.03418800283779255,-0.13076920255401325,0.027272700672307915,194,1.17,0.49,11.97,0.0,0.0
EVLV,2026-07-27T22:45:03.735612-04:00,0.03260087664645282,1.4317327528708592,-0.06821968529700839,0.07142850452539758,1.2329029385574355,45.88208349626085,-0.15180184563198118,-0.11862456543905119,-0.033177280192929995,0.0,-0.037635353809707506,-0.05222897152492423,-1.0,0.0,18.042742570051736,23.496923715000293,25.605486625647494,0.04598849501595386,1.0,7.0,0.02752295424165485,-0.00532863396066352,-0.0017825719507730264,195,5.45,0.99,2.75,0.0,0.0
GRAB,2026-07-27T22:45:03.735612-04:00,0.023981797854677463,1.5180932540564052,-0.09210523921697067,0.04057973999106725,0.9878196293689335,43.12611341006149,-0.07035622564470323,-0.018446348457141194,-0.051909877187562035,0.0,-0.06377203348377702,-0.032583684978453986,1.0,0.0,22.71753306586459,14.449933921542959,29.838221949820493,0.042774602583570326,1.0,7.0,0.029850789820280887,-0.014285700661795464,-0.0775400965544244,203,3.35,1.46,2.99,0.0,0.0
